;cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price;vfm;mark;TDP
209;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;849,0;15,876325088339222;13479;45
210;Core i5;9300H;8 GB;DDR4;GeForce GTX 1550;SSD;512 GB;-;-;849,0;11,493521790341578;9758;45
212;Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;849,0;9,712603062426384;8246;15
213;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;849,0;9,396937573616018;7978;15
214;Core i5;8250U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;849,0;9,011778563015312;7651;15
215;Core i5;9300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;849,0;11,493521790341578;9758;45
216;Core i7;1065G7;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;849,0;12,677267373380447;10763;15
217;Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;16 GB;HDD;1000 GB;849,99;11,1354251226485;9465;45
218;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;852,02;9,363629961737988;7978;15
219;Core i5;8265U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;853,87;9,343342663403094;7978;15
221;Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;859,0;14,436554132712457;12401;45
222;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;859,0;9,287543655413272;7978;15
223;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;859,0;9,287543655413272;7978;15
224;Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;860,0;8,896511627906976;7651;15
226;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;862,95;9,245031577727563;7978;15
227;Core i7;1065G7;8 GB;DDR4;Iris Plus Graphics;SSD;512 GB;-;-;864,0;12,457175925925926;10763;15
228;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;864,99;9,223228014196696;7978;15
229;Core i7;1065G7;8 GB;DDR4;Iris Plus Graphics;SSD;512 GB;-;-;865,0;12,442774566473988;10763;15
230;Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;865,0;9,223121387283237;7978;15
234;Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;875,9;10,165544011873502;8904;15
235;Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;876,79;9,09910012659816;7978;15
236;Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;879,0;15,334470989761092;13479;45
237;Core i7;8550U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;879,0;9,381114903299204;8246;15
