cpuFamily;cpuModel;ramSize;ramType;gpuModel;hdd1Type;hdd1Size;hdd2Type;hdd2Size;price
Core i7;9750H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;879.0
Core i7;8550U;8 GB;DDR4;GeForce 930MX;SSD;256 GB;-;-;879.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;879.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;879.99
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;879.99
Core i7;8750H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;882.0
Core i5;8250U;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;886.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;886.69
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;888.0
Core i7;8565U;8 GB;DDR4;GeForce MX130;SSD;128 GB;HDD;1000 GB;889.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;256 GB;-;-;889.0
Core i7;8550U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;889.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1650;SSD;256 GB;-;-;889.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;889.0
Core i7;8550U;8 GB;DDR4;Radeon 530;SSD;512 GB;-;-;889.9
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;512 GB;-;-;889.99
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;889.99
Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;890.0
Core i5;8265U;8 GB;DDR4;GeForce MX130;SSD;256 GB;-;-;892.95
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;893.15
Core i7;1065G7;16 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;894.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;895.7
Core i5;8300H;8 GB;DDR4;GeForce GTX 1060;SSD;256 GB;-;-;896.0
Core i7;7500U;8 GB;DDR3;HD Graphics 620;SSD;256 GB;-;-;897.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;897.0
Core i7;8550U;12 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;898.0
Core i5;8250U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;898.9
Core i7;8565U;16 GB;DDR4;GeForce MX250;SSD;128 GB;HDD;1000 GB;899.0
Core i5;8265U;8 GB;DDR4;Radeon 520;SSD;128 GB;HDD;1000 GB;899.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899.0
Core i7;8550U;8 GB;DDR4;Radeon 535;SSD;256 GB;-;-;899.0
Core i7;10510U;16 GB;DDR4;GeForce MX130;SSD;512 GB;-;-;899.0
Core i5;9300H;8 GB;DDR4;GeForce GTX 1050 Ti;SSD;256 GB;-;-;899.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;-;-;899.0
Core i5;1035G1;8 GB;DDR4;GeForce MX230;SSD;512 GB;-;-;899.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899.0
Core i5;10210U;8 GB;DDR4;-;SSD;256 GB;-;-;899.0
Core i5;8265U;8 GB;DDR3;UHD Graphics 620;SSD;256 GB;-;-;899.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;256 GB;-;-;899.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899.0
Core i5;8300H;8 GB;DDR4;GeForce GTX 1050;SSD;128 GB;HDD;1000 GB;899.0
Core i5;7200U;8 GB;DDR4;HD Graphics 620;SSD;256 GB;-;-;899.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899.9
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;899.9
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;512 GB;-;-;905.37
Core i5;8365U;16 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;907.85
Core i7;8565U;8 GB;DDR4;GeForce MX250;SSD;256 GB;HDD;1000 GB;908.0
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;909.0
Core i7;8565U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;909.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;910.0
Core i7;8550U;8 GB;DDR4;GeForce MX150;SSD;256 GB;-;-;913.0
Core i7;8550U;16 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;915.0
Core i5;10210U;8 GB;DDR4;UHD Graphics;SSD;512 GB;-;-;916.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;128 GB;HDD;1000 GB;918.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;512 GB;-;-;923.48
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;926.95
Core i5;8250U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;928.0
Core i7;9750H;8 GB;DDR4;GeForce GTX 1650;SSD;512 GB;-;-;928.0
Core i7;8750H;8 GB;DDR4;GeForce GTX 1060;SSD;128 GB;HDD;1000 GB;929.0
Core i5;8300H;16 GB;DDR4;GeForce GTX 1050 Ti;SSD;128 GB;HDD;1000 GB;929.0
Core i5;8265U;8 GB;DDR4;UHD Graphics 620;SSD;256 GB;-;-;929.0
